	LV	ZI	BR	PG	MV	GC	SF	YO	DV
LV	0	258	419	438	635	444	915	785	229
ZI	258	0	137	186	383	399	1170	1041	469
BR	419	137	0	244	442	457	1332	1202	631
PG	438	186	244	0	196	211	1351	1221	649
MV	635	383	442	196	0	281	1508	1378	847
GC	444	399	457	211	281	0	1272	1142	623
SF	915	1170	1332	1351	1508	1272	0	302	819
YO	786	1041	1202	1221	1378	1142	302	0	690
DV	229	469	631	649	847	623	819	690	0
